branch_id,branch_name,branch_type,region_code,region_name,name_source
IBK-11650-02,방배영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-03,반포영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-04,잠원영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-05,양재영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-06,내곡영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-07,우면영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-08,남부터미널영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-09,교대영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-10,서초중앙영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11650-11,효령로영업점,영업점,11650,서초구,synthetic_placeholder
IBK-11680-01,역삼영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-02,삼성영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-03,대치영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-04,논현영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-05,신사영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-06,청담영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-07,압구정영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-08,도곡영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-09,개포영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-10,일원영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-11,수서영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-12,세곡영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-13,자곡영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-14,학동영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-15,언주영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-16,선릉영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-17,테헤란로영업점,영업점,11680,강남구,synthetic_placeholder
IBK-11680-18,강남대로출장소,출장소,11680,강남구,synthetic_placeholder
IBK-11710-01,잠실영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-02,가락영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-03,문정영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-04,석촌영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-05,방이영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-06,오금영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-07,풍납영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-08,삼전영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-09,거여영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11710-10,마천영업점,영업점,11710,송파구,synthetic_placeholder
IBK-11740-01,천호영업점,영업점,11740,강동구,synthetic_placeholder
IBK-11740-02,길동영업점,영업점,11740,강동구,synthetic_placeholder
IBK-11740-03,둔촌영업점,영업점,11740,강동구,synthetic_placeholder
IBK-11740-04,암사영업점,영업점,11740,강동구,synthetic_placeholder
IBK-11740-05,성내영업점,영업점,11740,강동구,synthetic_placeholder
IBK-11740-06,고덕영업점,영업점,11740,강동구,synthetic_placeholder
